Char;Xpos;Ypos;Layer;Hand;Finger;Fixed
\n;25.6;3.8;0;right;pinky;1
 ;13.7;0;0;left;thumb;1
ShiftLeft;0.6;1.9;0;left;pinky;1
ShiftRight;24.6;1.9;0;right;pinky;1
CapsLock;1.3;3.8;0;left;pinky;1
AltGr;18.3;0;0;right;pinky;1
1;1.9;7.6;0;left;pinky;1
2;3.7;7.6;0;left;pinky;1
3;5.5;7.6;0;left;ring;1
4;7.3;7.6;0;left;middle;1
5;9.1;7.6;0;left;index;1
6;10.9;7.6;0;left;index;1
7;12.7;7.6;0;right;index;1
8;14.5;7.6;0;right;index;1
9;16.3;7.6;0;right;middle;1
0;18.1;7.6;0;right;ring;1
-;19.9;7.6;0;right;pinky;1
x;3.4;5.7;0;left;pinky;0
v;5.2;5.7;0;left;ring;0
l;7;5.7;0;left;middle;0
c;8.8;5.7;0;left;index;0
w;10.6;5.7;0;left;index;0
k;12.4;5.7;0;right;index;0
h;14.2;5.7;0;right;index;0
g;16;5.7;0;right;middle;0
f;17.8;5.7;0;right;ring;0
q;19.6;5.7;0;right;pinky;0
ß;21.4;5.7;0;right;pinky;0
u;4;3.8;0;left;pinky;0
i;5.8;3.8;0;left;ring;0
a;7.6;3.8;0;left;middle;0
e;9.4;3.8;0;left;index;0
o;11.2;3.8;0;left;index;0
s;13;3.8;0;right;index;0
n;14.8;3.8;0;right;index;0
r;16.6;3.8;0;right;middle;0
t;18.4;3.8;0;right;ring;0
d;20.2;3.8;0;right;pinky;0
y;22;3.8;0;right;pinky;0
M3R;23.8;3.8;0;right;pinky;1
M2L;3;1.9;0;left;pinky;1
ü;4.8;1.9;0;left;pinky;0
ö;6.6;1.9;0;left;ring;0
ä;8.4;1.9;0;left;middle;0
p;10.2;1.9;0;left;index;0
z;12;1.9;0;left;index;0
b;13.8;1.9;0;right;index;0
m;15.6;1.9;0;right;index;0
,;17.4;1.9;0;right;middle;1
.;19.2;1.9;0;right;ring;1
j;21;1.9;0;right;pinky;0
°;1.9;7.6;1;left;pinky;1
§;3.7;7.6;1;left;pinky;1
?;5.5;7.6;1;left;ring;1
»;7.3;7.6;1;left;middle;1
«;9.1;7.6;1;left;index;1
$;10.9;7.6;1;left;index;1
€;12.7;7.6;1;right;index;1
„;14.5;7.6;1;right;index;1
“;16.3;7.6;1;right;middle;1
”;18.1;7.6;1;right;ring;1
—;19.9;7.6;1;right;pinky;1
X;3.4;5.7;1;left;pinky;1
V;5.2;5.7;1;left;ring;1
L;7;5.7;1;left;middle;1
C;8.8;5.7;1;left;index;1
W;10.6;5.7;1;left;index;1
K;12.4;5.7;1;right;index;1
H;14.2;5.7;1;right;index;1
G;16;5.7;1;right;middle;1
F;17.8;5.7;1;right;ring;1
Q;19.6;5.7;1;right;pinky;1
?;21.4;5.7;1;right;pinky;1
U;4;3.8;1;left;pinky;1
I;5.8;3.8;1;left;ring;1
A;7.6;3.8;1;left;middle;1
E;9.4;3.8;1;left;index;1
O;11.2;3.8;1;left;index;1
S;13;3.8;1;right;index;1
N;14.8;3.8;1;right;index;1
R;16.6;3.8;1;right;middle;1
T;18.4;3.8;1;right;ring;1
D;20.2;3.8;1;right;pinky;1
Y;22;3.8;1;right;pinky;1
Ü;4.8;1.9;1;left;pinky;1
Ö;6.6;1.9;1;left;ring;1
Ä;8.4;1.9;1;left;middle;1
P;10.2;1.9;1;left;index;1
Z;12;1.9;1;left;index;1
B;13.8;1.9;1;right;index;1
M;15.6;1.9;1;right;index;1
–;17.4;1.9;1;right;middle;1
•;19.2;1.9;1;right;ring;1
J;21;1.9;1;right;pinky;1
¹;1.9;7.6;2;left;pinky;1
²;3.7;7.6;2;left;pinky;1
³;5.5;7.6;2;left;ring;1
›;7.3;7.6;2;left;middle;1
‹;9.1;7.6;2;left;index;1
¢;10.9;7.6;2;left;index;1
¥;12.7;7.6;2;right;index;1
‚;14.5;7.6;2;right;index;1
‘;16.3;7.6;2;right;middle;1
’;18.1;7.6;2;right;ring;1
…;3.4;5.7;2;left;pinky;1
_;5.2;5.7;2;left;ring;1
[;7;5.7;2;left;middle;1
];8.8;5.7;2;left;index;1
^;10.6;5.7;2;left;index;1
!;12.4;5.7;2;right;index;1
<;14.2;5.7;2;right;index;1
>;16;5.7;2;right;middle;1
=;17.8;5.7;2;right;ring;1
&;19.6;5.7;2;right;pinky;1
?;21.4;5.7;2;right;pinky;1
\;4;3.8;2;left;pinky;1
/;5.8;3.8;2;left;ring;1
{;7.6;3.8;2;left;middle;1
};9.4;3.8;2;left;index;1
*;11.2;3.8;2;left;index;1
?;13;3.8;2;right;index;1
(;14.8;3.8;2;right;index;1
);16.6;3.8;2;right;middle;1
-;18.4;3.8;2;right;ring;1
:;20.2;3.8;2;right;pinky;1
@;22;3.8;2;right;pinky;1
#;4.8;1.9;2;left;pinky;1
$;6.6;1.9;2;left;ring;1
|;8.4;1.9;2;left;middle;1
~;10.2;1.9;2;left;index;1
`;12;1.9;2;left;index;1
+;13.8;1.9;2;right;index;1
%;15.6;1.9;2;right;index;1
"""";17.4;1.9;2;right;middle;1
';19.2;1.9;2;right;ring;1
";";21;1.9;2;right;pinky;1
