Char;Xpos;Ypos;Layer;Hand;Finger;Fixed
\n;25.6;3.8;0;right;pinky;1
 ;13.7;0.0;0;left;thumb;1
ShiftLeft;0.6;1.9;0;left;pinky;1
ShiftRight;24.6;1.9;0;right;pinky;1
CapsL;1.3;3.8;0;left;pinky;1
AltGr;18.3;0.0;0;right;pinky;1
1;1.9;7.6;0;left;pinky;1
2;3.7;7.6;0;left;pinky;1
3;5.5;7.6;0;left;ring;1
4;7.3;7.6;0;left;middle;1
5;9.1;7.6;0;left;index;1
6;10.9;7.6;0;left;index;1
7;12.7;7.6;0;right;index;1
8;14.5;7.6;0;right;index;1
9;16.3;7.6;0;right;middle;1
0;18.1;7.6;0;right;ring;1
-;19.9;7.6;0;right;pinky;1
+;23.2;5.7;0;right;pinky;1
M3r;23.8;3.8;0;right;pinky;1
M2l;3.0;1.9;0;left;pinky;1
,;17.4;1.9;0;right;middle;1
.;19.2;1.9;0;right;ring;1
n;18.4;3.8;0;right;ring;0
ß;6.6;1.9;0;left;ring;0
m;22.0;3.8;0;right;pinky;0
c;12.4;5.7;0;right;index;0
h;14.2;5.7;0;right;index;0
i;5.2;5.7;0;left;ring;0
u;20.2;3.8;0;right;pinky;0
w;19.6;5.7;0;right;pinky;0
x;17.8;5.7;0;right;ring;0
ä;8.4;1.9;0;left;middle;0
k;13.8;1.9;0;right;index;0
d;14.8;3.8;0;right;index;0
b;7.6;3.8;0;left;middle;0
y;10.6;5.7;0;left;index;0
ü;4.8;1.9;0;left;pinky;0
r;7.0;5.7;0;left;middle;0
g;16.0;5.7;0;right;middle;0
t;16.6;3.8;0;right;middle;0
o;11.2;3.8;0;left;index;0
v;10.2;1.9;0;left;index;0
q;21.0;1.9;0;right;pinky;0
z;4.0;3.8;0;left;pinky;0
l;21.4;5.7;0;right;pinky;0
a;3.4;5.7;0;left;pinky;0
s;13.0;3.8;0;right;index;0
j;15.6;1.9;0;right;index;0
p;8.8;5.7;0;left;index;0
e;9.4;3.8;0;left;index;0
ö;12.0;1.9;0;left;index;0
f;5.8;3.8;0;left;ring;0
